Customer ID,Client Segment,Country,Product ID,Product Category,Purchasing Price,Order ID,Order Date,Delivery Date,Service Level,Quantity,Planned Sales Price,Profit
1-45998003,Corporate,United Arab Emirates,Product 7,Electronics,"36,081",O-80034597,7-Sep-20,10-Sep-20,3,7,"55,926","19,845"
1-97158370,Consumer,Morocco,Product 14,Furniture,"21,430",O-83709716,23-Sep-20,25-Sep-20,2,5,"28,502","7,072"
1-68585938,Consumer,Saudi Arabia,Product 12,Furniture,"44,494",O-59386851,24-Sep-20,25-Sep-20,1,3,"62,292","17,798"
1-67285988,Consumer,Algeria,Product 20,Computer & Laptop,"12,734",O-59886722,24-Apr-20,25-Apr-20,1,1,"16,554","3,820"
1-64719309,Consumer,Egypt,Product 14,Furniture,"21,430",O-93096473,17-Jan-20,20-Jan-20,3,1,"26,788","5,358"
1-56246919,Consumer,United Arab Emirates,Product 8,Furniture,"43,423",O-69195628,23-Feb-20,24-Feb-20,1,5,"67,306","23,883"
1-42785603,Corporate,Saudi Arabia,Product 9,Furniture,"57,057",O-56034277,10-Jul-20,12-Jul-20,2,18,"79,880","22,823"
1-29650973,Corporate,United Arab Emirates,Product 8,Furniture,"43,423",O-09732965,5-Mar-20,6-Mar-20,1,11,"67,306","23,883"
1-64379237,Consumer,Saudi Arabia,Product 14,Furniture,"21,430",O-92376435,1-Dec-20,4-Dec-20,3,1,"30,002","8,572"
1-52154408,Consumer,Algeria,Product 11,Furniture,"44,772",O-44085214,2-Mar-20,4-Mar-20,2,1,"60,442","15,670"
1-94126801,Consumer,Egypt,Product 6,Electronics,"27,960",O-68019414,2-Sep-20,4-Sep-20,2,1,"34,950","6,990"
1-89101636,Consumer,Egypt,Product 14,Furniture,"21,430",O-16368912,18-Oct-20,20-Oct-20,2,2,"26,788","5,358"
1-64355191,Consumer,United Arab Emirates,Product 1,Electronics,"28,272",O-51916437,19-Jun-20,20-Jun-20,1,4,"43,822","15,550"
1-62825629,Consumer,Saudi Arabia,Product 1,Electronics,"28,272",O-56296287,11-Nov-20,12-Nov-20,1,3,"39,581","11,309"
1-35281326,Corporate,Iraq,Product 8,Furniture,"43,423",O-13263524,15-Dec-20,16-Dec-20,1,10,"49,936","6,513"
1-59639764,Consumer,Morocco,Product 20,Computer & Laptop,"12,734",O-97645963,25-Dec-20,26-Dec-20,1,4,"16,936","4,202"
1-37455859,Corporate,United Arab Emirates,Product 14,Furniture,"21,430",O-58593742,16-Jun-20,18-Jun-20,2,23,"33,217","11,787"
1-74122984,Consumer,Iraq,Product 13,Furniture,"50,443",O-29847418,28-Mar-20,29-Mar-20,1,2,"58,009","7,566"
1-55828141,Consumer,Egypt,Product 10,Furniture,"23,699",O-81415584,8-Nov-20,10-Nov-20,2,5,"29,624","5,925"
1-7480423,Consumer,Algeria,Product 12,Furniture,"44,494",O-04237485,21-May-20,22-May-20,1,5,"55,618","11,124"
1-18643146,Corporate,Iraq,Product 3,Electronics,"24,395",O-31461864,11-Nov-20,12-Nov-20,1,8,"28,054","3,659"
1-96874789,Consumer,Iraq,Product 12,Furniture,"44,494",O-47899682,5-May-20,8-May-20,3,1,"51,168","6,674"
1-43126237,Corporate,Algeria,Product 9,Furniture,"57,057",O-62374312,11-Feb-20,13-Feb-20,2,24,"73,604","16,547"
1-65222715,Consumer,Morocco,Product 1,Electronics,"28,272",O-27156521,12-Oct-20,13-Oct-20,1,2,"37,602","9,330"
1-10636607,Corporate,Egypt,Product 20,Computer & Laptop,"12,734",O-66071064,28-Jan-20,30-Jan-20,2,14,"15,918","3,184"
1-95112223,Consumer,Saudi Arabia,Product 10,Furniture,"23,699",O-22239518,1-Dec-20,4-Dec-20,3,4,"33,179","9,480"
1-45407534,Corporate,Algeria,Product 8,Furniture,"43,423",O-75344544,30-Jul-20,31-Jul-20,1,12,"56,884","13,461"
1-15762526,Corporate,Morocco,Product 5,Electronics,"27,702",O-25261574,29-Apr-20,2-May-20,3,15,"36,844","9,142"
1-42277125,Corporate,United Arab Emirates,Product 11,Furniture,"44,772",O-71254224,6-Apr-20,9-Apr-20,3,10,"69,397","24,625"
1-40934749,Corporate,Saudi Arabia,Product 1,Electronics,"28,272",O-47494099,20-Nov-20,22-Nov-20,2,15,"39,581","11,309"
1-83736104,Consumer,Morocco,Product 7,Electronics,"36,081",O-61048378,3-Sep-20,6-Sep-20,3,1,"47,988","11,907"
1-4584051,Corporate,Saudi Arabia,Product 7,Electronics,"36,081",O-40514589,9-Jul-20,12-Jul-20,3,15,"50,513","14,432"
1-87053201,Consumer,Algeria,Product 14,Furniture,"21,430",O-32018706,10-Nov-20,13-Nov-20,3,5,"28,288","6,858"
1-69262010,Consumer,Morocco,Product 16,Computer & Laptop,"19,080",O-20106925,19-Feb-20,21-Feb-20,2,1,"25,376","6,296"
1-22448497,Corporate,Saudi Arabia,Product 6,Electronics,"27,960",O-84972249,28-Dec-20,30-Dec-20,2,23,"39,144","11,184"
1-28022019,Corporate,Algeria,Product 10,Furniture,"23,699",O-20192803,26-Apr-20,28-Apr-20,2,13,"30,572","6,873"
1-67598996,Consumer,Algeria,Product 6,Electronics,"27,960",O-89966754,23-Jan-20,26-Jan-20,3,2,"36,348","8,388"
1-87798858,Consumer,Egypt,Product 9,Furniture,"57,057",O-88588776,14-Aug-20,16-Aug-20,2,2,"71,321","14,264"
1-3999632,Corporate,United Arab Emirates,Product 17,Computer & Laptop,"18,711",O-96323996,23-Jun-20,24-Jun-20,1,25,"29,002","10,291"
1-85612386,Consumer,Egypt,Product 6,Electronics,"27,960",O-23868561,13-Jan-20,15-Jan-20,2,1,"34,950","6,990"
1-85293076,Consumer,Algeria,Product 14,Furniture,"21,430",O-30768521,18-Aug-20,21-Aug-20,3,2,"28,288","6,858"
1-67680802,Consumer,Egypt,Product 6,Electronics,"27,960",O-08026766,31-May-20,2-Jun-20,2,2,"34,950","6,990"
1-82187288,Consumer,Iraq,Product 15,Computer & Laptop,"23,070",O-72888218,1-Jul-20,4-Jul-20,3,2,"26,531","3,461"
1-81930665,Consumer,Morocco,Product 19,Computer & Laptop,"15,954",O-06658191,26-Feb-20,29-Feb-20,3,2,"21,219","5,265"
1-89312031,Consumer,Egypt,Product 12,Furniture,"44,494",O-20318932,30-Jul-20,1-Aug-20,2,4,"55,618","11,124"
1-86379541,Consumer,Algeria,Product 2,Electronics,"13,144",O-95418633,3-Oct-20,6-Oct-20,3,2,"16,561","3,417"
1-81086592,Consumer,United Arab Emirates,Product 14,Furniture,"21,430",O-65928108,5-Aug-20,6-Aug-20,1,5,"33,217","11,787"
1-25918447,Corporate,United Arab Emirates,Product 18,Computer & Laptop,"12,308",O-84472599,9-Mar-20,12-Mar-20,3,6,"19,077","6,769"
1-6486428,Consumer,United Arab Emirates,Product 5,Electronics,"27,702",O-64286484,24-Apr-20,27-Apr-20,3,1,"42,938","15,236"
1-22831892,Corporate,Algeria,Product 17,Computer & Laptop,"18,711",O-18922281,1-Oct-20,3-Oct-20,2,6,"25,073","6,362"
1-17223811,Corporate,Iraq,Product 8,Furniture,"43,423",O-38111727,27-Aug-20,28-Aug-20,1,21,"49,936","6,513"
1-65321274,Consumer,Egypt,Product 14,Furniture,"21,430",O-12746533,17-Aug-20,19-Aug-20,2,3,"26,788","5,358"
1-37847088,Corporate,United Arab Emirates,Product 6,Electronics,"27,960",O-70883787,14-Nov-20,15-Nov-20,1,24,"43,338","15,378"
